,Year,USD,Ppl,Programmes
0,2009,11.6645933,106.7742323,32
1,2010,17.78023462,113.1980373,30
2,2011,19.19624125,117.5041636,31
3,2012,19.27455138,117.6279836,34
4,2013,21.43322745,117.9469502,31
5,2014,27.38448848,144.0113424,31
6,2015,19.74556427,113.7853025,31
7,2016,18.43410729,113.6699173,32
8,2017,19.45250443,114.1094335,32
9,2018,17.19746926,107.4171125,26
10,2019,13.66157294,71.38124794,26
11,2005,3.44932678,80.8339236,25
12,2006,6.770585199,84.70516168,30
13,2007,9.075970788,87.83613566,27
14,2008,11.33686868,91.16425656,32
15,2001,1.705737012,39.50845763,11
16,2002,2.188161926,25.88720843,13
17,2003,2.538011851,66.03069748,15
18,2004,2.642033075,74.0171491,14
19,2000,1.12576059,14.06992702,6
