,Year,USD,Ppl,Total215,Total365,Total685
0,2009,11.66459329661597,106.77423231234071,29.529886,72.426458,175.942429
1,2010,17.780234623254977,113.19803729004674,26.590063,66.859026,169.861096
2,2011,19.19624124764588,117.50416356909749,24.484177,61.824129,161.785345
3,2012,19.27455137588545,117.62798355585096,22.647935,58.482521,155.396734
4,2013,21.43322745308179,117.94695018698646,19.925735,54.294122,150.773746
5,2014,27.384488483270005,144.011342401905,18.516786,51.642105,148.392663
6,2016,18.434107287005528,113.66991729209698,20.986264,54.108118,148.925869
7,2017,19.452504428783172,114.109433499772,21.217334,53.286037,147.379535
8,2018,17.197469261989387,107.417112510151,20.946163,52.356986,146.023209
9,2019,13.66157294192989,71.38124794370701,21.535292,52.993001,147.359444
10,2005,3.449326780074262,80.833923597049,43.538257,97.869094,207.817077
11,2006,6.77058519876402,84.70516167757263,36.102165,86.217616,194.238628
12,2007,9.075970788463955,87.83613565542066,34.65576,82.032558,188.115713
13,2008,11.336868679080771,91.16425655565205,31.959755,77.198978,180.446179
14,2001,1.7057370124381914,39.508457626162,56.829201,115.798574,221.150731
15,2002,2.188161926128028,25.887208429362,51.88205,113.08871,221.29995
16,2003,2.538011850543796,66.03069748137601,49.732309,108.895736,219.737883
17,2004,2.642033075038068,74.017149098072,45.483847,103.475686,216.112663
18,2000,1.1257605904305272,14.06992701623,44.509519,89.660044,174.749223
