,country,year,Primary Enrolment,Secondary Enrolment,Tertiary Enrolment
2,Argentina,2000,115.694129943848,95.9366073608398,53.9648094177246
5,Bolivia,2000,118.221221923828,72.908332824707,53.9648094177246
8,Brazil,2000,150.785552978516,109.994216918945,18.1542797088623
11,Chile,2000,103.013511657715,85.5215835571289,35.3763008117676
14,Colombia,2000,119.383941650391,73.0866012573242,24.492000579834
17,Costa Rica,2000,109.104423522949,62.0568008422852,24.492000579834
20,Dominican Republic,2000,115.845672607422,60.0571403503418,24.492000579834
23,Ecuador,2000,111.411102294922,57.709228515625,24.492000579834
26,Mexico,2000,108.997932434082,71.7650299072266,20.4910106658936
29,Panama,2000,105.668067932129,64.8781433105469,41.3328094482422
32,Peru,2000,117.18726348877,80.7680282592773,33.8159790039063
35,Paraguay,2000,118.77400970459,61.5051307678223,15.8885698318481
38,El Salvador,2000,112.135269165039,58.3269500732422,21.4051704406738
41,Uruguay,2000,109.044921875,98.2286224365234,33.9259986877441
