badks,garageplaats,prijs
1,1,42000
1,0,38500
1,0,49500
1,0,60500
1,0,61000
1,0,66000
2,2,66000
1,0,69000
1,0,83800
2,1,88500
2,3,90000
1,0,30500
1,0,27000
1,0,36000
1,0,37000
1,0,37900
1,1,40500
1,0,40750
1,0,45000
2,1,45000
1,1,48500
2,0,65900
1,0,37900
1,0,38000
1,0,42000
1,0,42300
1,0,43500
1,0,44000
1,0,44500
1,0,44900
1,0,45000
1,2,48000
1,0,49000
1,0,51500
1,0,61000
1,2,61000
1,0,61700
1,0,67000
2,2,82000
2,0,54500
1,0,66500
1,0,70000
1,1,82000
3,2,92000
1,0,38000
1,0,44000
1,0,41000
1,0,43000
1,0,48000
1,0,54800
2,0,55000
1,0,57000
1,2,68000
1,1,95000
3,0,38000
1,0,25000
1,0,25245
2,3,56000
1,0,35500
1,0,30000
1,0,48000
1,0,48000
1,2,52000
1,0,54000
1,0,56000
1,0,60000
1,0,60000
1,1,67000
1,0,47000
1,0,70000
1,2,45000
1,0,51000
1,0,32500
1,0,34000
1,0,35000
1,0,36000
1,0,45000
1,0,47000
2,2,55000
1,1,63900
1,0,50000
1,1,35000
1,0,50000
1,2,43000
1,0,55500
1,1,57000
1,2,60000
2,0,78000
1,1,35000
1,0,44000
1,0,47000
2,1,58000
1,2,163000
2,2,128000
1,1,123500
1,0,39000
1,2,53900
1,3,59900
1,0,35000
1,0,43000
2,0,57000
3,0,79000
1,2,125000
2,2,132000
2,2,58000
1,0,43000
1,0,48000
2,0,58500
2,0,73000
1,0,63500
1,0,43000
1,0,46500
1,0,92000
1,0,75000
2,0,75000
1,0,85000
1,2,93000
2,1,94500
2,1,106500
1,1,116000
1,1,61500
2,1,80000
1,0,37000
1,1,59500
1,1,70000
2,0,95000
3,1,117000
2,2,122500
2,1,123500
2,2,127000
1,0,35000
1,0,44500
1,0,49900
1,2,50500
1,2,65000
2,1,90000
1,0,46000
1,0,35000
1,1,26500
1,0,43000
1,0,56000
1,1,40000
2,2,51000
1,0,51000
1,0,57250
1,1,44000
1,0,61000
2,1,62000
2,0,80000
1,0,50000
1,1,59900
1,0,35500
2,1,37000
1,1,42000
1,0,48000
3,0,60000
1,0,60000
2,0,60000
1,0,62000
1,0,63000
1,1,63900
1,2,130000
1,0,25000
2,0,50000
1,0,52900
1,2,62000
1,0,73500
1,0,38000
1,1,46000
1,0,48000
1,0,52500
1,0,32000
1,0,38000
1,1,46000
1,0,50000
2,2,57500
1,0,70000
2,2,69900
2,2,74500
1,0,42000
1,1,60000
1,0,50000
1,0,58000
1,0,63900
1,0,28000
1,1,54000
1,0,44700
1,1,47000
1,0,50000
1,0,57250
1,2,67000
1,0,52500
1,1,42000
2,1,57500
1,0,33000
1,0,34400
1,0,40000
1,1,40500
1,0,46500
1,0,52000
1,1,53000
2,1,53900
1,0,50000
2,0,55500
1,1,56000
2,0,60000
1,0,60000
1,0,69500
1,0,72000
1,2,92500
1,1,40500
1,0,42000
1,0,47900
1,0,52000
1,2,62000
1,0,41000
3,2,138300
1,0,42000
1,0,47000
1,0,64500
1,0,46000
1,2,58000
1,1,70100
2,1,78500
1,1,87250
2,1,70800
1,2,56000
1,2,48000
1,1,68000
2,2,79000
1,1,80000
2,1,87000
1,0,25000
1,0,32500
1,0,36000
1,1,42500
1,3,43000
1,1,50000
1,2,26000
1,0,30000
2,0,34000
1,0,52000
1,0,70000
1,0,27000
1,0,32500
1,0,37200
1,1,38000
1,0,42000
1,0,44500
1,0,45000
1,2,48500
2,0,52000
1,1,53900
2,1,60000
1,0,61000
1,1,64500
3,2,71000
2,2,75500
1,0,33500
1,0,41000
1,0,41000
1,0,46200
1,0,48500
1,0,48900
1,1,50000
1,0,51000
1,0,52500
1,0,52500
1,0,54000
1,0,59000
2,0,60000
1,0,63000
1,2,64000
2,0,64900
1,0,65000
1,1,66000
1,2,70000
1,1,65500
1,0,57000
1,0,52000
1,2,54000
2,2,74500
2,2,90000
1,0,45000
1,2,45000
1,0,65000
1,0,55000
1,0,62000
1,1,30000
1,0,34000
1,0,38000
1,1,39000
1,1,45000
1,0,47000
1,1,47500
1,2,49000
1,1,50000
1,1,50000
1,0,52900
1,0,53000
1,0,55000
1,2,56000
1,1,58500
1,2,59500
1,2,60000
1,1,64000
2,1,67000
2,0,68100
1,0,70000
1,2,72000
1,3,57500
2,0,69900
1,0,70000
2,0,75000
2,0,76900
1,0,78000
1,0,80000
1,0,82000
1,0,83000
1,0,83000
1,1,83900
2,0,88500
2,0,93000
1,1,98000
2,2,98500
2,1,99000
1,1,101000
2,2,110000
2,2,115442
1,1,120000
2,2,124000
4,3,175000
1,1,50000
1,0,55000
1,3,60000
1,1,61000
2,0,106000
3,2,155000
1,2,141000
1,0,62500
1,0,70000
1,0,73000
1,1,80000
2,1,80000
1,0,88000
1,0,49000
2,2,52000
1,1,59500
1,0,60000
1,2,64000
1,0,64500
1,0,68500
1,2,78500
1,2,86000
2,0,86900
1,1,75000
1,0,78000
2,0,95000
2,2,97000
1,3,107000
2,1,130000
3,2,145000
2,2,175000
1,0,72000
1,2,84900
1,1,99000
2,2,114000
2,2,120000
3,0,145000
2,2,79000
1,2,82000
1,0,85000
2,2,100500
2,2,122000
2,1,126500
2,1,133000
2,1,140000
2,2,190000
1,2,84000
2,0,97000
2,1,103500
1,0,112500
1,2,140000
1,2,74700
2,0,78000
1,0,78900
1,2,83900
1,2,85000
1,2,85000
1,2,86000
1,2,86900
2,1,94500
1,0,96000
2,1,106000
1,0,72000
1,1,74500
2,1,77000
2,1,80750
1,2,82900
1,0,85000
1,2,92500
1,2,76000
1,0,77500
1,0,80000
2,0,80000
2,0,86000
1,2,87000
1,0,87500
2,0,89000
2,0,89900
1,1,90000
2,0,95000
2,0,112000
1,0,31900
2,0,52000
1,1,90000
1,1,100000
1,2,91700
2,3,174500
1,1,94700
1,2,68000
1,0,80000
1,2,61100
1,0,62900
1,1,65500
1,0,66000
1,1,49500
1,1,50000
1,0,53500
1,0,58550
1,0,64500
1,0,65000
1,2,69000
1,0,73000
1,2,75000
2,0,75000
2,0,132000
1,0,60000
1,2,65000
1,2,69000
1,2,51900
